4.1.94       Coude à 87°30 pour Ø 250 mm;;U;;0,050;;2,00;;2,50;166,55;168,55;169,05;
4.1.95       Coude à 87°30 pour Ø 315 mm;;U;;0,050;;2,00;;2,50;304,47;306,47;306,97;
4.1.96       Culotte pour Ø 32 mm;;U;;0,040;;1,60;;2,00;2,36;3,96;4,36;
4.1.97       Culotte pour Ø 40 mm;;U;;0,040;;1,60;;2,00;3,69;5,29;5,69;
4.1.98       Culotte pour Ø 50 mm;;U;;0,040;;1,60;;2,00;5,07;6,67;7,07;
4.1.99       Culotte pour Ø 63 mm;;U;;0,040;;1,60;;2,00;8,42;10,02;10,42;
4.1.100     Culotte pour Ø 75 mm;;U;;0,060;;2,40;;3,00;8,93;11,33;11,93;
4.1.101     Culotte pour Ø 90 mm;;U;;0,060;;2,40;;3,00;11,67;14,07;14,67;
4.1.102     Culotte pour Ø 100 mm;;U;;0,060;;2,40;;3,00;13,22;15,62;16,22;
4.1.103     Culotte pour Ø 110 mm;;U;;0,060;;2,40;;3,00;18,75;21,15;21,75;
4.1.104     Culotte pour Ø 125 mm;;U;;0,060;;2,40;;3,00;21,71;24,11;24,71;
4.1.105     Culotte pour Ø 140 mm;;U;;0,080;;3,20;;4,00;43,27;46,47;47,27;
4.1.106     Culotte pour Ø 160 mm;;U;;0,080;;3,20;;4,00;50,88;54,08;54,88;
4.1.107     Culotte pour Ø 200 mm;;U;;0,080;;3,20;;4,00;103,12;106,32;107,12;
4.1.108     Culotte pour Ø 250 mm;;U;;0,100;;4,00;;5,00;289,69;293,69;294,69;
4.1.109     Culotte pour Ø 315 mm;;U;;0,100;;4,00;;5,00;507,44;511,44;512,44;
4.1.110     Manchon pour Ø 32 mm;;U;;0,020;;0,80;;1,00;0,88;1,68;1,88;
